City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
557,Marsa Matruh,EG,31.3525,27.2453,59.2,58,0,6.91,clear sky
558,Fort Morgan,US,40.2503,-103.8,55.09,65,0,13.8,clear sky
559,Riyadh,SA,24.6877,46.7219,68.14,29,100,15.7,overcast clouds
560,Blagodatnoye,RU,45.3997,42.5867,36.52,73,100,29.39,overcast clouds
561,Chapleau,CA,47.8405,-83.4034,15.89,45,20,9.22,few clouds
562,Sistranda,NO,63.7256,8.834,41.9,57,100,4.43,overcast clouds
563,Ulaanbaatar,MN,47.9077,106.8832,-5.67,71,0,4.47,clear sky
564,Vardo,NO,70.3705,31.1107,23.2,80,40,12.66,scattered clouds
565,Coahuayana,MX,18.7333,-103.6833,85.48,34,0,4.92,clear sky
566,Nishihara,JP,26.1842,127.7558,69.08,89,75,11.5,broken clouds
567,Guanica,PR,17.9716,-66.908,86.25,74,5,11.99,clear sky
568,Wuwei,CN,37.9281,102.6414,35.8,46,51,3.87,broken clouds
569,Locri,IT,38.2414,16.2623,59.58,74,73,2.48,broken clouds
570,Tavda,RU,58.0425,65.2726,27.39,99,100,2.06,overcast clouds
571,Parit Raja,MY,1.8681,103.1124,77.31,94,92,3.74,overcast clouds
572,Xiongzhou,CN,25.1167,114.3,66.87,89,87,3.38,overcast clouds
573,Gueret,FR,46.1667,1.8667,47.25,96,100,4.03,overcast clouds
574,Binga,ZW,-17.6203,27.3414,77.85,73,49,3.91,light rain
575,Abalak,RU,58.1286,68.5944,25.27,96,100,5.99,overcast clouds
576,Chokwe,MZ,-24.5333,32.9833,79.83,55,5,13.47,clear sky
577,Carupano,VE,10.6678,-63.2585,81.84,71,78,15.43,broken clouds
578,Atikokan,CA,48.7555,-91.6216,15.26,76,100,1.32,overcast clouds
579,Annau,TM,37.8876,58.516,60.3,39,100,20.71,dust
580,Alekseyevsk,RU,57.8406,108.3492,-10.62,100,86,3.71,overcast clouds
581,Palenque,MX,17.5167,-91.9667,77.16,78,20,6.91,few clouds
582,Ha Giang,VN,22.8333,104.9833,68.63,97,46,1.88,scattered clouds
583,Ust-Omchug,RU,61.15,149.6333,-21.33,100,100,1.66,overcast clouds
584,Jumla,NP,29.2747,82.1838,37.35,78,23,3.74,few clouds
585,Harper,LR,4.375,-7.7169,83.3,74,78,10.67,light rain
586,Povenets,RU,62.8487,34.8262,22.05,91,97,8.46,overcast clouds
587,Yashkul,RU,46.1711,45.3435,39.74,70,100,35.59,overcast clouds
588,Fuengirola,ES,36.54,-4.6247,62.6,48,20,13.8,few clouds
589,Romitan,UZ,39.9343,64.3814,69.75,32,75,11.5,broken clouds
590,Constantine,DZ,36.365,6.6147,53.01,71,75,8.05,broken clouds
591,Adra,ES,36.7496,-3.0206,59.38,64,91,1.25,overcast clouds
592,Sabang,ID,5.8933,95.3214,82.44,74,64,6.24,broken clouds
593,Panzhihua,CN,26.5851,101.7128,56.37,40,3,0.56,clear sky
594,Eyl,SO,7.9803,49.8164,76.3,66,100,16.64,overcast clouds
595,Arcelia,MX,18.2833,-100.2667,87.58,31,0,4.34,clear sky
596,Santiago De Chuco,PE,-8.15,-78.1833,58.53,70,82,4.07,light rain
597,Djambala,CG,-2.5447,14.7533,75.61,78,71,5.08,broken clouds
598,Vao,NC,-22.6667,167.4833,78.82,78,4,9.53,clear sky
599,Atkinson,US,42.8384,-71.147,31.23,38,0,10.36,clear sky
600,Abu Samrah,SY,35.3029,37.1841,46.35,69,8,6.46,clear sky
601,Casma,CL,-41.0082,-73.1244,64.24,44,64,1.39,broken clouds
602,Havoysund,NO,70.9963,24.6622,31.08,68,100,12.24,overcast clouds
603,Tukrah,LY,32.5341,20.5791,55.83,69,2,7.74,clear sky
604,Amberley,US,39.2048,-84.428,47.55,46,0,8.05,clear sky
605,Haimen,CN,23.1935,116.6142,64.29,80,3,2.66,clear sky
606,Sulangan,PH,11.1373,123.7228,80.11,83,77,12.12,broken clouds
607,Minudasht,IR,37.2289,55.3747,58.57,55,100,0.0,haze
608,Anloga,GH,5.7947,0.8973,88.02,80,79,19.84,broken clouds
609,Preston,GB,53.7667,-2.7167,48.88,78,20,11.5,few clouds
610,Bisho,ZA,-32.8472,27.4422,66.83,97,97,3.62,light rain
611,Ippy,CF,6.2679,21.2247,83.5,41,91,2.26,overcast clouds
612,Malakal,SS,9.5334,31.6605,92.21,12,28,5.46,scattered clouds
613,Mahanje,TZ,-9.9333,35.3333,68.18,93,100,1.95,light rain
614,Kijang,KR,35.2442,129.2139,51.53,76,0,16.08,clear sky
615,Ondangwa,NA,-17.9167,15.95,95.0,34,54,2.3,broken clouds
616,Mugur-Aksy,RU,50.35,90.5,4.84,71,100,6.17,overcast clouds
617,Plettenberg Bay,ZA,-34.0527,23.3716,65.48,87,40,1.43,scattered clouds
618,Pilar,BR,-9.5972,-35.9567,82.33,52,44,13.8,moderate rain
619,Katangi,IN,23.45,79.7833,72.73,23,19,6.22,few clouds
620,Labuhan,ID,-6.8844,112.2051,79.0,85,100,9.8,light rain
621,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,84.85,67,23,12.55,light rain
622,Puerto Quijarro,BO,-17.7833,-57.7667,92.32,46,43,4.34,scattered clouds
623,Saint-Ambroise,CA,48.5501,-71.3324,12.69,47,100,3.44,overcast clouds
624,Itoigawa,JP,37.0333,137.85,36.61,60,65,8.32,broken clouds
625,Saraland,US,30.8207,-88.0706,76.05,34,5,5.64,clear sky
626,Tilichiki,RU,60.4667,166.1,-1.37,91,92,9.86,overcast clouds
627,Lingao,CN,19.9103,109.6859,70.66,87,2,8.81,clear sky
628,Asosa,ET,10.0667,34.5333,78.06,20,59,2.15,broken clouds
629,Makaryev,RU,57.8797,43.8069,27.91,93,100,6.33,overcast clouds
630,Kavaratti,IN,10.5669,72.642,82.56,69,59,15.08,broken clouds
631,Kollam,IN,8.8833,76.6,84.07,70,67,3.71,broken clouds
632,Mogadishu,SO,2.0371,45.3438,78.75,77,85,23.0,overcast clouds
633,Gunnedah,AU,-30.9833,150.25,67.62,91,90,5.53,overcast clouds
634,Broken Hill,AU,-31.95,141.4333,69.51,64,89,20.71,overcast clouds
635,Grenville,GD,12.1167,-61.6167,86.05,69,73,20.13,broken clouds
636,Wellington,NZ,-41.2866,174.7756,58.66,89,100,6.91,overcast clouds
637,Rocha,UY,-34.4833,-54.3333,89.71,38,0,7.14,clear sky
638,Jasper,US,37.2001,-94.3502,68.02,38,0,12.66,clear sky
639,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,73,98,8.63,overcast clouds
640,Geraldton,AU,-28.7667,114.6,61.21,72,0,4.61,clear sky
641,Brooks,CA,50.5834,-111.8851,12.18,86,85,6.91,overcast clouds
642,Uribia,CO,11.7139,-72.266,90.84,45,69,13.91,broken clouds
643,Lewistown,US,40.5992,-77.5714,35.51,43,0,6.91,clear sky
644,Grand Haven,US,43.0631,-86.2284,36.16,45,75,4.61,broken clouds
645,Baicheng,CN,45.6167,122.8167,24.57,43,75,20.47,broken clouds
646,Melchor De Mencos,GT,17.0686,-89.1522,80.6,61,20,9.22,few clouds
647,Paragominas,BR,-2.9667,-47.4833,80.96,75,99,1.95,overcast clouds
648,Vicuna,CL,-30.0319,-70.7081,60.53,40,2,9.37,clear sky
649,Orebro,SE,59.2741,15.2066,37.58,44,0,2.3,clear sky
650,Porto Nacional,BR,-10.7081,-48.4172,87.8,66,88,4.32,light rain
651,Anadyr,RU,64.75,177.4833,10.9,84,40,2.24,light snow
652,Vawkavysk,BY,53.1561,24.4513,32.23,78,100,8.99,overcast clouds
653,Rio Gallegos,AR,-51.6226,-69.2181,57.25,38,75,27.63,broken clouds
654,Ozernovskiy,RU,51.5,156.5167,23.18,78,100,3.87,overcast clouds
655,Kysyl-Syr,RU,63.8986,122.7617,-1.39,99,100,2.91,overcast clouds
656,San Lawrenz,MT,36.0553,14.204,57.85,76,78,3.0,broken clouds
657,Tazovskiy,RU,67.4667,78.7,-8.07,97,99,6.8,overcast clouds
658,Abha,SA,18.2164,42.5053,66.02,72,20,12.66,few clouds
659,Astana,KZ,51.1801,71.446,22.95,93,100,8.95,overcast clouds
660,Porto Novo,BJ,6.4965,2.6036,85.59,68,100,8.75,overcast clouds
661,Chumikan,RU,54.7183,135.315,-1.88,96,100,1.72,overcast clouds
662,Mae Hong Son,TH,19.3003,97.9685,75.51,49,39,1.12,scattered clouds
663,Salamiyah,SY,35.0113,37.0532,45.41,75,6,5.99,clear sky
664,Goure,NE,13.9835,10.2704,90.32,8,91,4.18,overcast clouds
665,Bolobo,CD,-2.1667,16.2333,81.1,69,81,4.32,broken clouds
666,Leshukonskoye,RU,64.8989,45.7622,11.77,91,98,8.08,overcast clouds
667,Nicoya,CR,10.1483,-85.452,89.74,43,45,17.38,scattered clouds
668,Korcula,HR,42.9622,17.1369,54.16,49,93,2.33,overcast clouds
669,Acarau,BR,-2.8856,-40.12,85.57,63,99,14.23,light rain
670,Bairiki,KI,1.3292,172.9752,80.6,83,75,8.05,light rain
671,Gataivai,WS,-13.7736,-172.388,76.82,77,83,12.01,light rain
672,Severnoye,RU,56.3491,78.3619,20.66,97,100,6.53,overcast clouds
673,Krasnyy Yar,RU,46.5331,48.3456,33.73,94,100,33.4,overcast clouds
674,Maracas,BR,-13.4411,-40.4308,77.16,60,82,10.04,moderate rain
675,Jieshi,CN,22.8134,115.8257,71.94,78,6,3.69,clear sky
676,Tual,ID,-5.6667,132.75,83.25,77,100,8.99,overcast clouds
677,Megion,RU,61.0296,76.1136,3.22,99,15,7.49,few clouds
678,Jiaozuo,CN,35.2397,113.2331,49.66,23,0,2.8,clear sky
679,Kadoma,JP,34.7333,135.5833,46.38,47,80,3.58,broken clouds
680,Suluq,LY,31.6682,20.2521,60.33,47,7,7.9,clear sky
681,Belyy Yar,RU,53.6039,91.3903,28.29,75,0,0.0,clear sky
682,Isla Mujeres,MX,21.2311,-86.731,82.45,69,28,15.17,scattered clouds
683,Riedlingen,DE,48.1545,9.4756,43.09,64,0,6.78,clear sky
684,Manta,EC,-0.95,-80.7333,83.98,74,20,9.22,few clouds
685,Ayaviri,PE,-14.8864,-70.5889,52.23,66,98,2.33,overcast clouds
686,The Valley,AI,18.217,-63.0578,83.1,69,40,18.41,scattered clouds
