City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Deqing,CN,2022-03-02 14:55:38,30.5448,119.9599,53.56,80,3,1.3
153,Cabo San Lucas,MX,2022-03-02 14:51:00,22.8909,-109.9124,68.5,58,99,1.32
154,Seydi,TM,2022-03-02 14:55:39,39.4816,62.9137,58.93,37,58,8.9
155,Katobu,ID,2022-03-02 14:55:39,-4.9408,122.5276,76.44,91,11,1.61
156,Caravelas,BR,2022-03-02 14:55:40,-17.7125,-39.2481,86.99,54,100,9.84
157,Adre,TD,2022-03-02 14:55:40,13.4667,22.2,96.19,7,100,0.96
158,Djibo,BF,2022-03-02 14:55:40,14.1022,-1.6306,100.2,15,12,6.04
159,Grand Gaube,MU,2022-03-02 14:47:39,-20.0064,57.6608,82.8,78,5,5.99
160,Santa Maria,BR,2022-03-02 14:55:41,-29.6842,-53.8069,76.3,78,20,3.44
161,Georgetown,MY,2022-03-02 14:54:50,5.4112,100.3354,78.75,93,40,5.99
162,Vila Franca Do Campo,PT,2022-03-02 14:51:14,37.7167,-25.4333,63.19,88,99,9.1
163,Lata,PT,2022-03-02 14:55:42,40.1629,-8.3327,61.36,57,100,7.76
164,Krasnyy Chikoy,RU,2022-03-02 14:55:42,50.3643,108.7512,6.12,99,63,1.74
165,Stornoway,GB,2022-03-02 14:55:42,58.2093,-6.3865,47.93,53,20,8.05
166,Del Rio,US,2022-03-02 14:54:47,29.3627,-100.8968,53.82,71,0,6.91
167,Aklavik,CA,2022-03-02 14:47:27,68.2191,-135.0107,-4.97,95,21,13.69
168,Chokurdakh,RU,2022-03-02 14:55:43,70.6333,147.9167,-26.59,100,93,3.74
169,Aykhal,RU,2022-03-02 14:55:43,66.0,111.5,-4.86,100,100,4.36
170,Tuatapere,NZ,2022-03-02 14:55:44,-46.1333,167.6833,43.83,85,60,3.27
171,Norman Wells,CA,2022-03-02 14:48:58,65.282,-126.8329,3.24,60,40,21.85
172,Panaba,MX,2022-03-02 14:55:45,21.2833,-88.2667,75.81,54,42,7.38
173,Akhtubinsk,RU,2022-03-02 14:53:04,48.2795,46.1722,40.59,78,92,10.04
174,Coahuayana,MX,2022-03-02 14:55:45,18.7333,-103.6833,78.93,32,0,1.39
175,Konispol,AL,2022-03-02 14:55:46,39.6589,20.1814,50.95,51,51,8.37
176,Arraial Do Cabo,BR,2022-03-02 14:47:28,-22.9661,-42.0278,93.16,58,0,4.61
177,Hohhot,CN,2022-03-02 14:55:46,40.8106,111.6522,21.49,35,0,4.47
178,Vao,NC,2022-03-02 14:55:46,-22.6667,167.4833,79.32,85,74,19.3
179,Airai,TL,2022-03-02 14:55:47,-8.9266,125.4092,61.57,85,7,1.86
180,Loum,CM,2022-03-02 14:55:47,4.7182,9.7351,94.96,38,82,7.61
181,Aksu,CN,2022-03-02 14:55:48,41.1231,80.2644,44.35,33,68,5.75
182,Brae,GB,2022-03-02 14:56:48,60.3964,-1.353,44.51,72,100,17.13
183,Nouadhibou,MR,2022-03-02 14:47:37,20.931,-17.0347,75.18,64,0,17.27
184,Torbay,CA,2022-03-02 14:56:48,47.6666,-52.7314,30.27,68,75,10.36
185,Lhokseumawe,ID,2022-03-02 14:56:49,5.1801,97.1507,77.85,89,34,3.4
186,Beberibe,BR,2022-03-02 14:56:49,-4.1797,-38.1306,87.84,69,99,10.54
187,Aksha,RU,2022-03-02 14:56:50,50.2814,113.2867,6.13,93,59,2.57
188,Turbat,PK,2022-03-02 14:56:50,26.0023,63.044,81.27,28,0,9.86
189,Loikaw,MM,2022-03-02 14:56:50,19.6742,97.2094,69.35,36,8,3.74
190,Dunedin,NZ,2022-03-02 14:56:51,-45.8742,170.5036,53.8,76,41,3.53
191,Te Anau,NZ,2022-03-02 14:56:51,-45.4167,167.7167,48.51,90,81,1.05
192,Saskylakh,RU,2022-03-02 14:56:52,71.9167,114.0833,-26.07,100,70,5.7
193,Port Hardy,CA,2022-03-02 14:56:52,50.6996,-127.4199,44.76,93,75,12.66
194,Itoman,JP,2022-03-02 14:56:52,26.1247,127.6694,64.42,72,100,5.75
195,Haapsalu,EE,2022-03-02 14:56:53,58.9431,23.5414,36.99,80,25,6.26
196,Yumen,CN,2022-03-02 14:56:53,40.2833,97.2,36.93,28,92,19.3
197,Lebu,CL,2022-03-02 14:56:54,-37.6167,-73.65,65.44,76,2,16.96
198,Marsh Harbour,BS,2022-03-02 14:56:54,26.5412,-77.0636,72.88,63,16,12.03
199,Tabas,IR,2022-03-02 14:56:55,33.5959,56.9244,67.03,24,46,3.71
200,Guerrero Negro,MX,2022-03-02 14:56:55,27.9769,-114.0611,61.25,62,89,0.74
201,General Pico,AR,2022-03-02 14:56:55,-35.6566,-63.7568,79.14,33,0,13.8
202,Sao Filipe,CV,2022-03-02 14:47:38,14.8961,-24.4956,73.53,64,0,12.8
203,Codrington,AU,2022-03-02 14:56:56,-38.2667,141.9667,67.19,75,1,6.2
204,Mantua,IT,2022-03-02 14:52:09,45.1667,10.7833,56.88,35,95,1.99
205,Nome,US,2022-03-02 14:56:56,64.5011,-165.4064,2.16,88,90,5.14
206,Chuy,UY,2022-03-02 14:56:57,-33.6971,-53.4616,82.4,35,0,11.88
207,Karatu,TZ,2022-03-02 14:56:57,-3.3333,35.6667,74.59,41,90,3.18
208,Betanzos,ES,2022-03-02 14:56:57,43.2804,-8.2147,55.9,85,100,9.22
209,Tuktoyaktuk,CA,2022-03-02 14:56:58,69.4541,-133.0374,-7.6,71,0,18.41
210,Okha,RU,2022-03-02 14:56:58,53.5739,142.9478,-7.24,100,97,7.96
211,Sangar,RU,2022-03-02 14:56:59,63.9242,127.4739,-22.81,100,60,2.95
212,Talnakh,RU,2022-03-02 14:56:59,69.4865,88.3972,-10.21,99,100,7.7
213,Shimoda,JP,2022-03-02 14:57:00,34.6667,138.95,43.11,66,7,9.04
214,Phuket,TH,2022-03-02 14:57:00,8.0,98.25,80.82,83,20,0.0
215,Beira,MZ,2022-03-02 14:57:00,-19.8436,34.8389,86.09,62,20,12.66
216,Taganak,PH,2022-03-02 14:57:01,6.0833,118.3,75.34,81,70,7.83
217,Tigil,RU,2022-03-02 14:57:01,57.8,158.6667,-0.71,100,100,2.39
218,Pangody,RU,2022-03-02 14:57:02,65.85,74.4859,-4.95,99,100,5.06
219,Rafai,CF,2022-03-02 14:57:02,4.95,23.9167,94.91,20,68,4.32
220,Kodinsk,RU,2022-03-02 14:57:03,58.6881,99.1844,17.11,91,100,8.1
